comment,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
Ealah cripto.pasti g beres nih😂,Ealah criptopasti g beres nih,ealah criptopasti g beres nih,ealah criptopasti tidak beres nih,"['ealah', 'criptopasti', 'tidak', 'beres', 'nih']","['ealah', 'criptopasti', 'beres', 'nih']",ealah criptopasti beres nih
Yg kerja bersyukur dah bagi w dikasih uang udah alhamdulilah sekrng keluarga w kelaparan jangankan rt setan juga ngg mau kasih uang itu j yg kerja kerja pemerintahan gaji gede syukurin aja world terus maju kl bisa seluuh rakyat miskin diduluin kl lu kerja jngn coba coba mempermasalahkan penggunaan jadi liatin j😅,Yg kerja bersyukur dah bagi w dikasih uang udah alhamdulilah sekrng keluarga w kelaparan jangankan rt setan juga ngg mau kasih uang itu j yg kerja kerja pemerintahan gaji gede syukurin aja world terus maju kl bisa seluuh rakyat miskin diduluin kl lu kerja jngn coba coba mempermasalahkan penggunaan jadi liatin j,yg kerja bersyukur dah bagi w dikasih uang udah alhamdulilah sekrng keluarga w kelaparan jangankan rt setan juga ngg mau kasih uang itu j yg kerja kerja pemerintahan gaji gede syukurin aja world terus maju kl bisa seluuh rakyat miskin diduluin kl lu kerja jngn coba coba mempermasalahkan penggunaan jadi liatin j,yang kerja bersyukur sudah bagi gue dikasih uang sudah alhamdulilah sekarang keluarga gue kelaparan jangankan rt setan juga tidak mau kasih uang itu saja yang kerja kerja pemerintahan gaji gede syukurin saja world terus maju kalau bisa seluuh rakyat miskin diduluin kalau kamu kerja jangan coba coba mempermasalahkan penggunaan jadi perlihatkan saja,"['yang', 'kerja', 'bersyukur', 'sudah', 'bagi', 'gue', 'dikasih', 'uang', 'sudah', 'alhamdulilah', 'sekarang', 'keluarga', 'gue', 'kelaparan', 'jangankan', 'rt', 'setan', 'juga', 'tidak', 'mau', 'kasih', 'uang', 'itu', 'saja', 'yang', 'kerja', 'kerja', 'pemerintahan', 'gaji', 'gede', 'syukurin', 'saja', 'world', 'terus', 'maju', 'kalau', 'bisa', 'seluuh', 'rakyat', 'miskin', 'diduluin', 'kalau', 'kamu', 'kerja', 'jangan', 'coba', 'coba', 'mempermasalahkan', 'penggunaan', 'jadi', 'perlihatkan', 'saja']","['kerja', 'bersyukur', 'gue', 'dikasih', 'uang', 'alhamdulilah', 'keluarga', 'gue', 'kelaparan', 'rt', 'setan', 'kasih', 'uang', 'kerja', 'kerja', 'pemerintahan', 'gaji', 'gede', 'syukurin', 'world', 'maju', 'seluuh', 'rakyat', 'miskin', 'diduluin', 'kerja', 'coba', 'coba', 'mempermasalahkan', 'penggunaan', 'perlihatkan']",kerja syukur gue kasih uang alhamdulilah keluarga gue lapar rt setan kasih uang kerja kerja perintah gaji gede syukurin world maju seluuh rakyat miskin diduluin kerja coba coba masalah guna lihat
Masyarakat dimiskinkan..org laper apapun jadilah..,Masyarakat dimiskinkanorg laper apapun jadilah,masyarakat dimiskinkanorg laper apapun jadilah,masyarakat dimiskinkanorg laper apapun jadilah,"['masyarakat', 'dimiskinkanorg', 'laper', 'apapun', 'jadilah']","['masyarakat', 'dimiskinkanorg', 'laper', 'apapun']",masyarakat dimiskinkanorg laper apa
"Lebih milih mana hayo? Di world kita ngasih data dapet duit, dan resiko data jebol tinggi atau di kominfo kita ngasih data gak dapet duit, dan resiko data jebol tinggi.",Lebih milih mana hayo Di world kita ngasih data dapet duit dan resiko data jebol tinggi atau di kominfo kita ngasih data gak dapet duit dan resiko data jebol tinggi,lebih milih mana hayo di world kita ngasih data dapet duit dan resiko data jebol tinggi atau di kominfo kita ngasih data gak dapet duit dan resiko data jebol tinggi,lebih memilih mana hayo di world kita mengasih data dapat duit dan resiko data jebol tinggi atau di kominfo kita mengasih data tidak dapat duit dan resiko data jebol tinggi,"['lebih', 'memilih', 'mana', 'hayo', 'di', 'world', 'kita', 'mengasih', 'data', 'dapat', 'duit', 'dan', 'resiko', 'data', 'jebol', 'tinggi', 'atau', 'di', 'kominfo', 'kita', 'mengasih', 'data', 'tidak', 'dapat', 'duit', 'dan', 'resiko', 'data', 'jebol', 'tinggi']","['memilih', 'hayo', 'world', 'mengasih', 'data', 'duit', 'resiko', 'data', 'jebol', 'kominfo', 'mengasih', 'data', 'duit', 'resiko', 'data', 'jebol']",pilih hayo world asih data duit resiko data jebol kominfo asih data duit resiko data jebol
"Inget bro pake logika kalian 

Tidak mungkin mereka dengan mudah nya kita download ini lalu pake retina lalu mendapatkan uang 

1. Pasti ada tujuan dan maksud mengapa dia membuat world 

2. Pasti ada tujuan mengapa menggunakan retina 

3. World pasti bisa masuk Indonesia  karena melihat Indonesia masih banyak yang membutuhkan uang apalagi orang Indonesia pastinua akan berbondong bondong jika denger uang cuma"" 

Pinter juga cara beliau ini😊","Inget bro pake logika kalian 

Tidak mungkin mereka dengan mudah nya kita download ini lalu pake retina lalu mendapatkan uang 

 Pasti ada tujuan dan maksud mengapa dia membuat world 

 Pasti ada tujuan mengapa menggunakan retina 

 World pasti bisa masuk Indonesia  karena melihat Indonesia masih banyak yang membutuhkan uang apalagi orang Indonesia pastinua akan berbondong bondong jika denger uang cuma 

Pinter juga cara beliau ini","inget bro pake logika kalian 

tidak mungkin mereka dengan mudah nya kita download ini lalu pake retina lalu mendapatkan uang 

 pasti ada tujuan dan maksud mengapa dia membuat world 

 pasti ada tujuan mengapa menggunakan retina 

 world pasti bisa masuk indonesia  karena melihat indonesia masih banyak yang membutuhkan uang apalagi orang indonesia pastinua akan berbondong bondong jika denger uang cuma 

pinter juga cara beliau ini",ingat bro pakai logika kalian tidak mungkin mereka dengan mudah ya kita download ini lalu pakai retina lalu mendapatkan uang pasti ada tujuan dan maksud mengapa dia membuat world pasti ada tujuan mengapa menggunakan retina world pasti bisa masuk indonesia karena melihat indonesia masih banyak yang membutuhkan uang apalagi orang indonesia pastinua akan berbondong bondong jika dengar uang cuma pintar juga cara beliau ini,"['ingat', 'bro', 'pakai', 'logika', 'kalian', 'tidak', 'mungkin', 'mereka', 'dengan', 'mudah', 'ya', 'kita', 'download', 'ini', 'lalu', 'pakai', 'retina', 'lalu', 'mendapatkan', 'uang', 'pasti', 'ada', 'tujuan', 'dan', 'maksud', 'mengapa', 'dia', 'membuat', 'world', 'pasti', 'ada', 'tujuan', 'mengapa', 'menggunakan', 'retina', 'world', 'pasti', 'bisa', 'masuk', 'indonesia', 'karena', 'melihat', 'indonesia', 'masih', 'banyak', 'yang', 'membutuhkan', 'uang', 'apalagi', 'orang', 'indonesia', 'pastinua', 'akan', 'berbondong', 'bondong', 'jika', 'dengar', 'uang', 'cuma', 'pintar', 'juga', 'cara', 'beliau', 'ini']","['bro', 'pakai', 'logika', 'mudah', 'ya', 'download', 'pakai', 'retina', 'uang', 'tujuan', 'maksud', 'world', 'tujuan', 'retina', 'world', 'masuk', 'indonesia', 'indonesia', 'membutuhkan', 'uang', 'orang', 'indonesia', 'pastinua', 'berbondong', 'bondong', 'dengar', 'uang', 'pintar', 'beliau']",bro pakai logika mudah ya download pakai retina uang tuju maksud world tuju retina world masuk indonesia indonesia butuh uang orang indonesia pastinua bondong bondong dengar uang pintar beliau
di bodoh bodohin terusss,di bodoh bodohin terusss,di bodoh bodohin terusss,di bodoh bodohin terus,"['di', 'bodoh', 'bodohin', 'terus']","['bodoh', 'bodohin']",bodoh bodohin
"Alhamdulillah bersyukur ada pekerjaan, saya engga akan pernah mau beginian ngeri😊",Alhamdulillah bersyukur ada pekerjaan saya engga akan pernah mau beginian ngeri,alhamdulillah bersyukur ada pekerjaan saya engga akan pernah mau beginian ngeri,alhamdulillah bersyukur ada pekerjaan saya tidak akan pernah mau beginian ngeri,"['alhamdulillah', 'bersyukur', 'ada', 'pekerjaan', 'saya', 'tidak', 'akan', 'pernah', 'mau', 'beginian', 'ngeri']","['alhamdulillah', 'bersyukur', 'pekerjaan', 'ngeri']",alhamdulillah syukur kerja ngeri
Benar adanya indonesia gelap😮😮 pajak kendaraan turun....!!! Sadar wahai penguasa,Benar adanya indonesia gelap pajak kendaraan turun Sadar wahai penguasa,benar adanya indonesia gelap pajak kendaraan turun sadar wahai penguasa,benar adanya indonesia gelap pajak kendaraan turun sadar wahai penguasa,"['benar', 'adanya', 'indonesia', 'gelap', 'pajak', 'kendaraan', 'turun', 'sadar', 'wahai', 'penguasa']","['indonesia', 'gelap', 'pajak', 'kendaraan', 'turun', 'sadar', 'penguasa']",indonesia gelap pajak kendara turun sadar kuasa
"Inilah bukti bahwa rakyat indonesia sangat kesulitan mencari pekerjaan. Banyak yg nganggur, yg jualan pada sepi. Kasihan saudara-saudaraku. Saya pun merasakan pengeluaran lebih besar dibandingkan pendapatan. Semua serba mahal 😢",Inilah bukti bahwa rakyat indonesia sangat kesulitan mencari pekerjaan Banyak yg nganggur yg jualan pada sepi Kasihan saudarasaudaraku Saya pun merasakan pengeluaran lebih besar dibandingkan pendapatan Semua serba mahal ,inilah bukti bahwa rakyat indonesia sangat kesulitan mencari pekerjaan banyak yg nganggur yg jualan pada sepi kasihan saudarasaudaraku saya pun merasakan pengeluaran lebih besar dibandingkan pendapatan semua serba mahal ,inilah bukti bahwa rakyat indonesia sangat kesulitan mencari pekerjaan banyak yang nganggur yang jualan pada sepi kasihan saudarasaudaraku saya pun merasakan pengeluaran lebih besar dibandingkan pendapatan semua serba mahal,"['inilah', 'bukti', 'bahwa', 'rakyat', 'indonesia', 'sangat', 'kesulitan', 'mencari', 'pekerjaan', 'banyak', 'yang', 'nganggur', 'yang', 'jualan', 'pada', 'sepi', 'kasihan', 'saudarasaudaraku', 'saya', 'pun', 'merasakan', 'pengeluaran', 'lebih', 'besar', 'dibandingkan', 'pendapatan', 'semua', 'serba', 'mahal']","['bukti', 'rakyat', 'indonesia', 'kesulitan', 'mencari', 'pekerjaan', 'nganggur', 'jualan', 'sepi', 'kasihan', 'saudarasaudaraku', 'merasakan', 'pengeluaran', 'dibandingkan', 'pendapatan', 'serba', 'mahal']",bukti rakyat indonesia sulit cari kerja nganggur jual sepi kasihan saudarasaudaraku rasa keluar banding dapat serba mahal
"Gak MASYARAKAT...
Gak PEMERINTAH....Gagal sudah,selagi Blum ada kesadaran.
Korupsi sama saja GK Pemerintah ataupun Masyarakat nya juga sama...blum lgi tentang Pendidikan yg masih jauh serta bagaimna pun 100 Thun ke depn pun Negara ini GK Maju maju.","Gak MASYARAKAT
Gak PEMERINTAHGagal sudahselagi Blum ada kesadaran
Korupsi sama saja GK Pemerintah ataupun Masyarakat nya juga samablum lgi tentang Pendidikan yg masih jauh serta bagaimna pun  Thun ke depn pun Negara ini GK Maju maju","gak masyarakat
gak pemerintahgagal sudahselagi blum ada kesadaran
korupsi sama saja gk pemerintah ataupun masyarakat nya juga samablum lgi tentang pendidikan yg masih jauh serta bagaimna pun  thun ke depn pun negara ini gk maju maju",tidak masyarakat tidak pemerintahgagal sudahselagi belum ada kesadaran korupsi sama saja tidak pemerintah ataupun masyarakat ya juga samablum lagi tentang pendidikan yang masih jauh serta bagaimana pun tahun ke depn pun negara ini tidak maju maju,"['tidak', 'masyarakat', 'tidak', 'pemerintahgagal', 'sudahselagi', 'belum', 'ada', 'kesadaran', 'korupsi', 'sama', 'saja', 'tidak', 'pemerintah', 'ataupun', 'masyarakat', 'ya', 'juga', 'samablum', 'lagi', 'tentang', 'pendidikan', 'yang', 'masih', 'jauh', 'serta', 'bagaimana', 'pun', 'tahun', 'ke', 'depn', 'pun', 'negara', 'ini', 'tidak', 'maju', 'maju']","['masyarakat', 'pemerintahgagal', 'sudahselagi', 'kesadaran', 'korupsi', 'pemerintah', 'masyarakat', 'ya', 'samablum', 'pendidikan', 'depn', 'negara', 'maju', 'maju']",masyarakat pemerintahgagal sudahselagi sadar korupsi perintah masyarakat ya samablum didik depn negara maju maju
"nampak kali mas rudy membela para pencuri data, bahaya banget kalo negara diam",nampak kali mas rudy membela para pencuri data bahaya banget kalo negara diam,nampak kali mas rudy membela para pencuri data bahaya banget kalo negara diam,menampak kali mas rudy membela para pencuri data bahaya banget kalau negara diam,"['menampak', 'kali', 'mas', 'rudy', 'membela', 'para', 'pencuri', 'data', 'bahaya', 'banget', 'kalau', 'negara', 'diam']","['menampak', 'kali', 'mas', 'rudy', 'membela', 'pencuri', 'data', 'bahaya', 'banget', 'negara', 'diam']",tampak kali mas rudy bela curi data bahaya banget negara diam
cair 800 rbu kmren,cair  rbu kmren,cair  rbu kmren,cair rbu kemarin,"['cair', 'rbu', 'kemarin']","['cair', 'rbu', 'kemarin']",cair rbu kemarin
Gambaran negara dengan tingkat kemiskinan 60%.,Gambaran negara dengan tingkat kemiskinan ,gambaran negara dengan tingkat kemiskinan ,gambaran negara dengan tingkat kemiskinan,"['gambaran', 'negara', 'dengan', 'tingkat', 'kemiskinan']","['gambaran', 'negara', 'tingkat', 'kemiskinan']",gambar negara tingkat miskin
"Ngapain coba ngeluarin duit 800k? Bukannya data org indo dijual murah di deep web? Kesempatan bagus si, dari pada gak dpt apa² mending di jual sendiri, toh ujungnya juga sama aja bakal kesebar data pribadi nya.",Ngapain coba ngeluarin duit k Bukannya data org indo dijual murah di deep web Kesempatan bagus si dari pada gak dpt apa mending di jual sendiri toh ujungnya juga sama aja bakal kesebar data pribadi nya,ngapain coba ngeluarin duit k bukannya data org indo dijual murah di deep web kesempatan bagus si dari pada gak dpt apa mending di jual sendiri toh ujungnya juga sama aja bakal kesebar data pribadi nya,mengapai coba mengeluarkan duit ke bukannya data orang indonesia dijual murah di deep web kesempatan bagus sih dari pada tidak dapat apa mending di jual sendiri toh ujungnya juga sama saja bakal kesebar data pribadi ya,"['mengapai', 'coba', 'mengeluarkan', 'duit', 'ke', 'bukannya', 'data', 'orang', 'indonesia', 'dijual', 'murah', 'di', 'deep', 'web', 'kesempatan', 'bagus', 'sih', 'dari', 'pada', 'tidak', 'dapat', 'apa', 'mending', 'di', 'jual', 'sendiri', 'toh', 'ujungnya', 'juga', 'sama', 'saja', 'bakal', 'kesebar', 'data', 'pribadi', 'ya']","['mengapai', 'coba', 'mengeluarkan', 'duit', 'data', 'orang', 'indonesia', 'dijual', 'murah', 'deep', 'web', 'kesempatan', 'bagus', 'sih', 'mending', 'jual', 'ujungnya', 'kesebar', 'data', 'pribadi', 'ya']",kapai coba keluar duit data orang indonesia jual murah deep web sempat bagus sih mending jual ujung sebar data pribadi ya
"Dijaman yang sudah  menyentuh tekhnologi Ai memang dibutuhkan validasi data diri yang akurat yang bisa meminimalisir penipuan Online yang sudah meradang,,,Good job, Kedepannya sebelumnya saya memang berpredikat bahwa World APP akan berkembang lebih luas lagi ,,,Wallaahu a'lam,,,😁🙏",Dijaman yang sudah  menyentuh tekhnologi Ai memang dibutuhkan validasi data diri yang akurat yang bisa meminimalisir penipuan Online yang sudah meradangGood job Kedepannya sebelumnya saya memang berpredikat bahwa World APP akan berkembang lebih luas lagi Wallaahu alam,dijaman yang sudah  menyentuh tekhnologi ai memang dibutuhkan validasi data diri yang akurat yang bisa meminimalisir penipuan online yang sudah meradanggood job kedepannya sebelumnya saya memang berpredikat bahwa world app akan berkembang lebih luas lagi wallaahu alam,dijaman yang sudah menyentuh tekhnologi ai memang dibutuhkan validasi data diri yang akurat yang bisa meminimalisir penipuan online yang sudah meradanggood job kedepannya sebelumnya saya memang berpredikat bahwa world app akan berkembang lebih luas lagi wallaahu alam,"['dijaman', 'yang', 'sudah', 'menyentuh', 'tekhnologi', 'ai', 'memang', 'dibutuhkan', 'validasi', 'data', 'diri', 'yang', 'akurat', 'yang', 'bisa', 'meminimalisir', 'penipuan', 'online', 'yang', 'sudah', 'meradanggood', 'job', 'kedepannya', 'sebelumnya', 'saya', 'memang', 'berpredikat', 'bahwa', 'world', 'app', 'akan', 'berkembang', 'lebih', 'luas', 'lagi', 'wallaahu', 'alam']","['dijaman', 'menyentuh', 'tekhnologi', 'ai', 'dibutuhkan', 'validasi', 'data', 'akurat', 'meminimalisir', 'penipuan', 'online', 'meradanggood', 'job', 'kedepannya', 'berpredikat', 'world', 'app', 'berkembang', 'luas', 'wallaahu', 'alam']",jam sentuh tekhnologi ai butuh validasi data akurat meminimalisir tipu online meradanggood job depan predikat world app kembang luas wallaahu alam
"Apa yang di Omongkan Pakar digital itu Bulshitt  soal keamanan.
Ada Kemungkinan data kalian akan di pakai untuk tujuan tertentu. Apalagi Retina itu keamanan tingkat tinggi yang rawan sekali  bisa nyusup ke data perbankan kalian.

Jadi
Saran nya
Lebih baik jangan daftar  . 
Data  kalian lebih berharga ..
Demi data pribadi ..  stop hnya untuk skdar uang sekali cair .","Apa yang di Omongkan Pakar digital itu Bulshitt  soal keamanan
Ada Kemungkinan data kalian akan di pakai untuk tujuan tertentu Apalagi Retina itu keamanan tingkat tinggi yang rawan sekali  bisa nyusup ke data perbankan kalian

Jadi
Saran nya
Lebih baik jangan daftar   
Data  kalian lebih berharga 
Demi data pribadi   stop hnya untuk skdar uang sekali cair ","apa yang di omongkan pakar digital itu bulshitt  soal keamanan
ada kemungkinan data kalian akan di pakai untuk tujuan tertentu apalagi retina itu keamanan tingkat tinggi yang rawan sekali  bisa nyusup ke data perbankan kalian

jadi
saran nya
lebih baik jangan daftar   
data  kalian lebih berharga 
demi data pribadi   stop hnya untuk skdar uang sekali cair ",apa yang di omongkan pakar digital itu bulshitt soal keamanan ada kemungkinan data kalian akan di pakai untuk tujuan tertentu apalagi retina itu keamanan tingkat tinggi yang rawan sekali bisa nyusup ke data perbankan kalian jadi saran ya lebih baik jangan daftar data kalian lebih berharga demi data pribadi stop hanya untuk skdar uang sekali cair,"['apa', 'yang', 'di', 'omongkan', 'pakar', 'digital', 'itu', 'bulshitt', 'soal', 'keamanan', 'ada', 'kemungkinan', 'data', 'kalian', 'akan', 'di', 'pakai', 'untuk', 'tujuan', 'tertentu', 'apalagi', 'retina', 'itu', 'keamanan', 'tingkat', 'tinggi', 'yang', 'rawan', 'sekali', 'bisa', 'nyusup', 'ke', 'data', 'perbankan', 'kalian', 'jadi', 'saran', 'ya', 'lebih', 'baik', 'jangan', 'daftar', 'data', 'kalian', 'lebih', 'berharga', 'demi', 'data', 'pribadi', 'stop', 'hanya', 'untuk', 'skdar', 'uang', 'sekali', 'cair']","['omongkan', 'pakar', 'digital', 'bulshitt', 'keamanan', 'data', 'pakai', 'tujuan', 'retina', 'keamanan', 'tingkat', 'rawan', 'nyusup', 'data', 'perbankan', 'saran', 'ya', 'daftar', 'data', 'berharga', 'data', 'pribadi', 'stop', 'skdar', 'uang', 'cair']",omong pakar digital bulshitt aman data pakai tuju retina aman tingkat rawan nyusup data perban saran ya daftar data harga data pribadi stop skdar uang cair
Oke gas oke gas 😂,Oke gas oke gas ,oke gas oke gas ,oke gas oke gas,"['oke', 'gas', 'oke', 'gas']","['oke', 'gas', 'oke', 'gas']",oke gas oke gas
Masyarakat harus cerdas 😄 jangan mudah tertipu,Masyarakat harus cerdas  jangan mudah tertipu,masyarakat harus cerdas  jangan mudah tertipu,masyarakat harus cerdas jangan mudah tertipu,"['masyarakat', 'harus', 'cerdas', 'jangan', 'mudah', 'tertipu']","['masyarakat', 'cerdas', 'mudah', 'tertipu']",masyarakat cerdas mudah tipu
Sudah di bilang miskin masih aja ngeyel.,Sudah di bilang miskin masih aja ngeyel,sudah di bilang miskin masih aja ngeyel,sudah di bilang miskin masih saja ngeyel,"['sudah', 'di', 'bilang', 'miskin', 'masih', 'saja', 'ngeyel']","['bilang', 'miskin', 'ngeyel']",bilang miskin ngeyel
"Kalau rakyat sdh miskin, mencari pekerjaan susah, dagang ngk laku lagi... Apapun dilakukan rakyat, disinilah awal kehancuran negara. 
10thn jokowi berkuasa negara ini sdh benar2 rusak...","Kalau rakyat sdh miskin mencari pekerjaan susah dagang ngk laku lagi Apapun dilakukan rakyat disinilah awal kehancuran negara 
thn jokowi berkuasa negara ini sdh benar rusak","kalau rakyat sdh miskin mencari pekerjaan susah dagang ngk laku lagi apapun dilakukan rakyat disinilah awal kehancuran negara 
thn jokowi berkuasa negara ini sdh benar rusak",kalau rakyat sudah miskin mencari pekerjaan susah dagang tidak laku lagi apapun dilakukan rakyat disinilah awal kehancuran negara tahun jokowi berkuasa negara ini sudah benar rusak,"['kalau', 'rakyat', 'sudah', 'miskin', 'mencari', 'pekerjaan', 'susah', 'dagang', 'tidak', 'laku', 'lagi', 'apapun', 'dilakukan', 'rakyat', 'disinilah', 'awal', 'kehancuran', 'negara', 'tahun', 'jokowi', 'berkuasa', 'negara', 'ini', 'sudah', 'benar', 'rusak']","['rakyat', 'miskin', 'mencari', 'pekerjaan', 'susah', 'dagang', 'laku', 'apapun', 'rakyat', 'kehancuran', 'negara', 'jokowi', 'berkuasa', 'negara', 'rusak']",rakyat miskin cari kerja susah dagang laku apa rakyat hancur negara jokowi kuasa negara rusak
"Kenapa setelah viral baru terkuak, pihak keamanan kemana aja?",Kenapa setelah viral baru terkuak pihak keamanan kemana aja,kenapa setelah viral baru terkuak pihak keamanan kemana aja,kenapa setelah viral baru terkuak pihak keamanan kemana saja,"['kenapa', 'setelah', 'viral', 'baru', 'terkuak', 'pihak', 'keamanan', 'kemana', 'saja']","['viral', 'terkuak', 'keamanan', 'kemana']",viral kuak aman mana
"Fase menuju Indonesia gelap, cara mudah menuju capturing Indonesia by another country.",Fase menuju Indonesia gelap cara mudah menuju capturing Indonesia by another country,fase menuju indonesia gelap cara mudah menuju capturing indonesia by another country,fase menuju indonesia gelap cara mudah menuju capturing indonesia by another country,"['fase', 'menuju', 'indonesia', 'gelap', 'cara', 'mudah', 'menuju', 'capturing', 'indonesia', 'by', 'another', 'country']","['fase', 'indonesia', 'gelap', 'mudah', 'capturing', 'indonesia', 'by', 'another', 'country']",fase indonesia gelap mudah capturing indonesia by another country
Hati hati Dengan aplikasi ini,Hati hati Dengan aplikasi ini,hati hati dengan aplikasi ini,hati hati dengan aplikasi ini,"['hati', 'hati', 'dengan', 'aplikasi', 'ini']","['hati', 'hati', 'aplikasi']",hati hati aplikasi
"namanya data pribadi ya privasi, klo diberikan ke orang udah bkn privasi, keamanan pun sudah gak terjamin. pengamat Tolol jd narasumber 😂",namanya data pribadi ya privasi klo diberikan ke orang udah bkn privasi keamanan pun sudah gak terjamin pengamat Tolol jd narasumber ,namanya data pribadi ya privasi klo diberikan ke orang udah bkn privasi keamanan pun sudah gak terjamin pengamat tolol jd narasumber ,namanya data pribadi ya privasi kalau diberikan ke orang sudah bukan privasi keamanan pun sudah tidak terjamin pengamat tolol jadi narasumber,"['namanya', 'data', 'pribadi', 'ya', 'privasi', 'kalau', 'diberikan', 'ke', 'orang', 'sudah', 'bukan', 'privasi', 'keamanan', 'pun', 'sudah', 'tidak', 'terjamin', 'pengamat', 'tolol', 'jadi', 'narasumber']","['namanya', 'data', 'pribadi', 'ya', 'privasi', 'orang', 'privasi', 'keamanan', 'terjamin', 'pengamat', 'tolol', 'narasumber']",nama data pribadi ya privasi orang privasi aman jamin amat tolol narasumber
Sutuh BPS lihat ini biar ngaku kalau data kemiskinan mereka itu rekayasa,Sutuh BPS lihat ini biar ngaku kalau data kemiskinan mereka itu rekayasa,sutuh bps lihat ini biar ngaku kalau data kemiskinan mereka itu rekayasa,sutuh bps lihat ini biar mengaku kalau data kemiskinan mereka itu rekayasa,"['sutuh', 'bps', 'lihat', 'ini', 'biar', 'mengaku', 'kalau', 'data', 'kemiskinan', 'mereka', 'itu', 'rekayasa']","['sutuh', 'bps', 'lihat', 'biar', 'mengaku', 'data', 'kemiskinan', 'rekayasa']",sutuh bps lihat biar aku data miskin rekayasa
"Itu tandanya rakyat pada miskin ,,,pemerintah gagal ,,bubarin aja hapus konoha dari peta dunia",Itu tandanya rakyat pada miskin pemerintah gagal bubarin aja hapus konoha dari peta dunia,itu tandanya rakyat pada miskin pemerintah gagal bubarin aja hapus konoha dari peta dunia,itu tandanya rakyat pada miskin pemerintah gagal bubarin saja hapus konoha dari peta dunia,"['itu', 'tandanya', 'rakyat', 'pada', 'miskin', 'pemerintah', 'gagal', 'bubarin', 'saja', 'hapus', 'konoha', 'dari', 'peta', 'dunia']","['tandanya', 'rakyat', 'miskin', 'pemerintah', 'gagal', 'bubarin', 'hapus', 'konoha', 'peta', 'dunia']",tanda rakyat miskin perintah gagal bubarin hapus konoha peta dunia
Gak ikut2 lah...... 😂,Gak ikut lah ,gak ikut lah ,tidak ikut lah,"['tidak', 'ikut', 'lah']",[],
Oooiii.. Gampangnya orang Indonesia.,Oooiii Gampangnya orang Indonesia,oooiii gampangnya orang indonesia,oooiii gampangnya orang indonesia,"['oooiii', 'gampangnya', 'orang', 'indonesia']","['oooiii', 'gampangnya', 'orang', 'indonesia']",oooiii gampang orang indonesia
"Itu bukti kalau rakyat sangat miskin dan butuh uang.harusya pemerintah ngerti sih maksud kasus ini tu.jngan byak teori doang sama bacot"" di media apa di tv swasta.",Itu bukti kalau rakyat sangat miskin dan butuh uangharusya pemerintah ngerti sih maksud kasus ini tujngan byak teori doang sama bacot di media apa di tv swasta,itu bukti kalau rakyat sangat miskin dan butuh uangharusya pemerintah ngerti sih maksud kasus ini tujngan byak teori doang sama bacot di media apa di tv swasta,itu bukti kalau rakyat sangat miskin dan butuh uangharusya pemerintah mengerti sih maksud kasus ini tujngan banyak teori doang sama bacot di media apa di tv swasta,"['itu', 'bukti', 'kalau', 'rakyat', 'sangat', 'miskin', 'dan', 'butuh', 'uangharusya', 'pemerintah', 'mengerti', 'sih', 'maksud', 'kasus', 'ini', 'tujngan', 'banyak', 'teori', 'doang', 'sama', 'bacot', 'di', 'media', 'apa', 'di', 'tv', 'swasta']","['bukti', 'rakyat', 'miskin', 'butuh', 'uangharusya', 'pemerintah', 'mengerti', 'sih', 'maksud', 'tujngan', 'teori', 'doang', 'bacot', 'media', 'tv', 'swasta']",bukti rakyat miskin butuh uangharusya perintah erti sih maksud tujngan teori doang bacot media tv swasta
"ya dari pada data pribadi di jadikan bahan kecurangan di hack orang  dpet duit kagak, mending sklian jual dpet duit. tempat gw si ngak ada kl ada gw juga mau jual lgian ngak penting juga data pribadi di negeri ini",ya dari pada data pribadi di jadikan bahan kecurangan di hack orang  dpet duit kagak mending sklian jual dpet duit tempat gw si ngak ada kl ada gw juga mau jual lgian ngak penting juga data pribadi di negeri ini,ya dari pada data pribadi di jadikan bahan kecurangan di hack orang  dpet duit kagak mending sklian jual dpet duit tempat gw si ngak ada kl ada gw juga mau jual lgian ngak penting juga data pribadi di negeri ini,ya dari pada data pribadi di jadikan bahan kecurangan di hack orang dpet duit kagak mending sklian jual dpet duit tempat gue sih tidak ada kalau ada gue juga mau jual lgian tidak penting juga data pribadi di negeri ini,"['ya', 'dari', 'pada', 'data', 'pribadi', 'di', 'jadikan', 'bahan', 'kecurangan', 'di', 'hack', 'orang', 'dpet', 'duit', 'kagak', 'mending', 'sklian', 'jual', 'dpet', 'duit', 'tempat', 'gue', 'sih', 'tidak', 'ada', 'kalau', 'ada', 'gue', 'juga', 'mau', 'jual', 'lgian', 'tidak', 'penting', 'juga', 'data', 'pribadi', 'di', 'negeri', 'ini']","['ya', 'data', 'pribadi', 'jadikan', 'bahan', 'kecurangan', 'hack', 'orang', 'dpet', 'duit', 'kagak', 'mending', 'sklian', 'jual', 'dpet', 'duit', 'gue', 'sih', 'gue', 'jual', 'lgian', 'data', 'pribadi', 'negeri']",ya data pribadi jadi bahan curang hack orang dpet duit kagak mending sklian jual dpet duit gue sih gue jual lgian data pribadi negeri
